timestamp,country,cases,deaths
2020-09-03,Diamond Princess nan,712.0,13.0
2020-09-03,MS Zaandam nan,9.0,2.0
2020-09-04,Diamond Princess nan,712.0,13.0
2020-09-04,MS Zaandam nan,9.0,2.0
2020-09-05,Diamond Princess nan,712.0,13.0
2020-09-05,MS Zaandam nan,9.0,2.0
2020-09-06,Diamond Princess nan,712.0,13.0
2020-09-06,MS Zaandam nan,9.0,2.0
2020-09-07,Diamond Princess nan,712.0,13.0
2020-09-07,MS Zaandam nan,9.0,2.0
2020-09-08,Diamond Princess nan,712.0,13.0
2020-09-08,MS Zaandam nan,9.0,2.0
2020-09-09,Diamond Princess nan,712.0,13.0
2020-09-09,MS Zaandam nan,9.0,2.0
2020-09-10,Diamond Princess nan,712.0,13.0
2020-09-10,MS Zaandam nan,9.0,2.0
2020-09-11,Diamond Princess nan,712.0,13.0
2020-09-11,MS Zaandam nan,9.0,2.0
2020-09-12,Diamond Princess nan,712.0,13.0
2020-09-12,MS Zaandam nan,9.0,2.0
2020-09-13,Diamond Princess nan,712.0,13.0
2020-09-13,MS Zaandam nan,9.0,2.0
2020-09-14,Diamond Princess nan,712.0,13.0
2020-09-14,MS Zaandam nan,9.0,2.0
2020-09-15,Diamond Princess nan,712.0,13.0
2020-09-15,MS Zaandam nan,9.0,2.0
2020-09-16,Diamond Princess nan,712.0,13.0
2020-09-16,MS Zaandam nan,9.0,2.0
2020-09-17,Diamond Princess nan,712.0,13.0
2020-09-17,MS Zaandam nan,9.0,2.0
2020-09-18,Diamond Princess nan,712.0,13.0
2020-09-18,MS Zaandam nan,9.0,2.0
2020-09-19,Diamond Princess nan,712.0,13.0
2020-09-19,MS Zaandam nan,9.0,2.0
2020-09-20,Diamond Princess nan,712.0,13.0
2020-09-20,MS Zaandam nan,9.0,2.0
2020-09-21,Diamond Princess nan,712.0,13.0
2020-09-21,MS Zaandam nan,9.0,2.0
2020-09-22,Diamond Princess nan,712.0,13.0
2020-09-22,MS Zaandam nan,9.0,2.0
2020-09-23,Diamond Princess nan,712.0,13.0
2020-09-23,MS Zaandam nan,9.0,2.0
2020-09-24,Diamond Princess nan,712.0,13.0
2020-09-24,MS Zaandam nan,9.0,2.0
2020-09-25,Diamond Princess nan,712.0,13.0
