YearWeekISO,ReportingCountry,TargetGroup,TotalDosesSum
2021-09,HR,25-49yr,581259
2021-09,HU,25-49yr,2741317
2021-09,IE,25-49yr,1453937
2021-09,IS,25-49yr,94302
2021-09,IT,25-49yr,12627189
2021-09,LT,25-49yr,531636
2021-09,LU,25-49yr,97775
2021-09,LV,25-49yr,145745
2021-09,MT,25-49yr,206450
2021-09,NO,25-49yr,1045686
2021-09,PL,25-49yr,8153275
2021-09,PT,25-49yr,1991935
2021-09,SE,25-49yr,2047862
2021-09,SI,25-49yr,433860
2021-10,AT,25-49yr,3126679
2021-10,BE,25-49yr,4538822
2021-10,BG,25-49yr,712967
2021-10,CZ,25-49yr,3500345
2021-10,DK,25-49yr,2024323
2021-10,EE,25-49yr,361270
2021-10,EL,25-49yr,3897847
2021-10,FI,25-49yr,1288584
2021-10,FR,25-49yr,16000767
2021-10,HR,25-49yr,701528
2021-10,HU,25-49yr,3596468
2021-10,IE,25-49yr,1664012
2021-10,IS,25-49yr,106158
2021-10,IT,25-49yr,15316994
2021-10,LT,25-49yr,643552
2021-10,LU,25-49yr,119562
2021-10,LV,25-49yr,179850
2021-10,MT,25-49yr,233697
2021-10,NO,25-49yr,1235750
2021-10,PL,25-49yr,9285168
2021-10,PT,25-49yr,2304296
2021-10,SE,25-49yr,2440549
2021-10,SI,25-49yr,526480
2021-11,AT,25-49yr,3809267
2021-11,BE,25-49yr,5316282
2021-11,BG,25-49yr,794192
2021-11,CZ,25-49yr,4300164
2021-11,DK,25-49yr,2255469
2021-11,EE,25-49yr,445631
2021-11,EL,25-49yr,4396986
2021-11,FI,25-49yr,1536507
2021-11,FR,25-49yr,18889107
2021-11,HR,25-49yr,830331
2021-11,HU,25-49yr,4341004
2021-11,IE,25-49yr,1834985
2021-11,IS,25-49yr,116784
2021-11,IT,25-49yr,17774934
2021-11,LT,25-49yr,725316
2021-11,LU,25-49yr,147438
2021-11,LV,25-49yr,199970
2021-11,MT,25-49yr,268655
2021-11,NO,25-49yr,1376189
2021-11,PL,25-49yr,10285560
2021-11,PT,25-49yr,2615743
2021-11,SE,25-49yr,2801243
2021-11,SI,25-49yr,601383
2021-12,AT,25-49yr,4506893
2021-12,BE,25-49yr,6237512
2021-12,BG,25-49yr,907978
2021-12,CZ,25-49yr,5041457
2021-12,DK,25-49yr,2479774
2021-12,EE,25-49yr,516037
2021-12,EL,25-49yr,4891453
2021-12,FI,25-49yr,1763725
2021-12,FR,25-49yr,22062954
2021-12,HR,25-49yr,955981
2021-12,HU,25-49yr,5229795
2021-12,IE,25-49yr,2050109
2021-12,IS,25-49yr,136458
2021-12,IT,25-49yr,20652421
2021-12,LT,25-49yr,833302
2021-12,LU,25-49yr,177113
2021-12,LV,25-49yr,230489
2021-12,MT,25-49yr,310403
2021-12,NO,25-49yr,1566663
2021-12,PL,25-49yr,11637925
2021-12,PT,25-49yr,3145635
2021-12,SE,25-49yr,3161998
2021-12,SI,25-49yr,693321
2021-13,AT,25-49yr,5150849
2021-13,BE,25-49yr,7243043
2021-13,BG,25-49yr,1046529
2021-13,CZ,25-49yr,5771797
2021-13,DK,25-49yr,2717768
2021-13,EE,25-49yr,600194
2021-13,EL,25-49yr,5522500
2021-13,FI,25-49yr,2005594
2021-13,FR,25-49yr,25975635
2021-13,HR,25-49yr,1078807
2021-13,HU,25-49yr,6533407
2021-13,IE,25-49yr,2326258
2021-13,IS,25-49yr,158004
2021-13,IT,25-49yr,23868610
2021-13,LT,25-49yr,1007312
2021-13,LU,25-49yr,208861
2021-13,LV,25-49yr,274956
2021-13,MT,25-49yr,363636
2021-13,NO,25-49yr,1777858
2021-13,PL,25-49yr,13267309
2021-13,PT,25-49yr,3615018
2021-13,SE,25-49yr,3581053
2021-13,SI,25-49yr,802150
2021-14,AT,25-49yr,5689402
2021-14,BE,25-49yr,7695825
2021-14,CZ,25-49yr,6334515
2021-14,DK,25-49yr,2927487
2021-14,EE,25-49yr,661962
2021-14,EL,25-49yr,6095655
2021-14,FI,25-49yr,2188497
2021-14,HR,25-49yr,1172157
2021-14,HU,25-49yr,7578250
2021-14,IE,25-49yr,2484916
2021-14,IT,25-49yr,26198927
2021-14,LT,25-49yr,1152519
2021-14,LU,25-49yr,239011
2021-14,MT,25-49yr,406929
2021-14,PL,25-49yr,14309262
2021-14,PT,25-49yr,4036988
2021-14,SE,25-49yr,3895111
2020-52,CZ,50-79yr,7199
2020-52,EE,50-79yr,11
2020-52,EL,50-79yr,1346
2020-52,FI,50-79yr,96
2020-52,FR,50-79yr,0
2020-52,HR,50-79yr,0
2020-52,HU,50-79yr,4228
2020-52,IT,50-79yr,26621
2020-52,LT,50-79yr,9291
2020-52,LU,50-79yr,0
2020-52,MT,50-79yr,227
2020-52,PL,50-79yr,8460
2020-52,PT,50-79yr,19334
2020-52,SE,50-79yr,4821
2020-52,SI,50-79yr,15624
2020-53,AT,50-79yr,25847
2020-53,BE,50-79yr,3679
2020-53,BG,50-79yr,17401
2020-53,CZ,50-79yr,83617
2020-53,DK,50-79yr,153008
2020-53,EE,50-79yr,75
2020-53,EL,50-79yr,23304
2020-53,FI,50-79yr,21654
2020-53,FR,50-79yr,1632
2020-53,HR,50-79yr,37554
2020-53,HU,50-79yr,47543
2020-53,IE,50-79yr,8033
2020-53,IS,50-79yr,14122
2020-53,IT,50-79yr,464988
2020-53,LT,50-79yr,37511
2020-53,LU,50-79yr,4095
2020-53,LV,50-79yr,5347
2020-53,MT,50-79yr,6411
2020-53,PL,50-79yr,201501
2020-53,PT,50-79yr,131679
2020-53,SE,50-79yr,43282
2020-53,SI,50-79yr,46812
2021-01,AT,50-79yr,171364
2021-01,BE,50-79yr,131244
2021-01,BG,50-79yr,59858
2021-01,CZ,50-79yr,313986
2021-01,DK,50-79yr,397343
2021-01,EE,50-79yr,723
2021-01,EL,50-79yr,269594
2021-01,FI,50-79yr,79259
2021-01,FR,50-79yr,335569
2021-01,HR,50-79yr,118716
2021-01,HU,50-79yr,292525
2021-01,IE,50-79yr,199565
2021-01,IT,50-79yr,1870735
2021-01,LT,50-79yr,89887
2021-01,LU,50-79yr,7033
2021-01,LV,50-79yr,20354
2021-01,MT,50-79yr,20948
2021-01,PL,50-79yr,888936
2021-01,PT,50-79yr,298326
2021-01,SE,50-79yr,167568
2021-01,SI,50-79yr,121121
2021-02,AT,50-79yr,616423
