YearWeekISO,ReportingCountry,TargetGroup,TotalDosesSum,new_cases
2020-53,FI,80+yr,11076,68
2020-53,HR,80+yr,24558,632
2020-53,HU,80+yr,24803,1081
2020-53,IE,80+yr,4075,552
2020-53,IS,80+yr,9897,0
2020-53,IT,80+yr,248251,10101
2020-53,LT,80+yr,19492,785
2020-53,LU,80+yr,2094,30
2020-53,LV,80+yr,2704,424
2020-53,MT,80+yr,3381,36
2020-53,PL,80+yr,106233,1574
2020-53,PT,80+yr,67032,2836
2020-53,SE,80+yr,30508,1788
2020-53,SI,80+yr,24888,675
2021-01,AT,80+yr,91342,1425
2021-01,BE,80+yr,82835,1757
2021-01,CZ,80+yr,161871,4109
2021-01,DK,80+yr,224421,690
2021-01,EE,80+yr,388,338
2021-01,EL,80+yr,137972,318
2021-01,FI,80+yr,41560,47
2021-01,HR,80+yr,64661,659
2021-01,HU,80+yr,155798,1336
2021-01,IE,80+yr,102677,1418
2021-01,IT,80+yr,939039,10490
2021-01,LT,80+yr,46909,739
2021-01,LU,80+yr,3905,28
2021-01,LV,80+yr,10290,431
2021-01,MT,80+yr,11028,53
2021-01,PL,80+yr,461416,886
2021-01,PT,80+yr,154939,4839
2021-01,SE,80+yr,107594,1659
2021-01,SI,80+yr,62784,801
2021-01,SK,80+yr,25533,1039
2021-02,AT,80+yr,337615,1115
2021-02,BE,80+yr,401480,1390
2021-02,CY,80+yr,13831,49
2021-02,CZ,80+yr,410289,2817
2021-02,DK,80+yr,334391,525
2021-02,EE,80+yr,2711,280
2021-02,EL,80+yr,286252,233
2021-02,FI,80+yr,121174,57
2021-02,HR,80+yr,110138,793
2021-02,HU,80+yr,316080,980
2021-02,IE,80+yr,248092,1487
2021-02,IS,80+yr,17381,0
2021-02,IT,80+yr,2515528,8747
2021-02,LT,80+yr,102396,435
2021-02,LU,80+yr,7908,39
2021-02,LV,80+yr,25438,415
2021-02,MT,80+yr,27040,66
2021-02,PL,80+yr,1097599,1834
2021-02,PT,80+yr,256008,5462
2021-02,SE,80+yr,276701,1432
2021-02,SI,80+yr,111460,660
2021-02,SK,80+yr,63845,936
2021-03,AT,80+yr,626010,933
2021-03,BE,80+yr,861101,1442
2021-03,CY,80+yr,27128,30
2021-03,CZ,80+yr,722560,2337
2021-03,DK,80+yr,414083,334
2021-03,EE,80+yr,17294,250
2021-03,EL,80+yr,554686,212
2021-03,FI,80+yr,233760,55
2021-03,HR,80+yr,163879,524
2021-03,HU,80+yr,431845,677
2021-03,IE,80+yr,392811,1073
2021-03,IS,80+yr,36459,0
2021-03,IT,80+yr,3455154,7589
2021-03,LT,80+yr,134230,423
2021-03,LU,80+yr,16156,23
2021-03,LV,80+yr,35816,321
2021-03,MT,80+yr,47040,42
2021-03,NO,80+yr,108261,59
2021-03,PL,80+yr,1699263,1644
2021-03,PT,80+yr,560134,7178
