year_week,country_code,age_group,new_cases
2021-02,CY,15-24yr,280
2021-03,CY,15-24yr,125
2021-04,CY,15-24yr,121
2021-05,CY,15-24yr,126
2021-06,CY,15-24yr,100
2021-07,CY,15-24yr,87
2021-08,CY,15-24yr,156
2021-09,CY,15-24yr,263
2021-10,CY,15-24yr,373
2021-11,CY,15-24yr,373
2021-12,CY,15-24yr,350
2021-13,CY,15-24yr,463
2020-11,CY,25-49yr,14
2020-12,CY,25-49yr,34
2020-13,CY,25-49yr,57
2020-14,CY,25-49yr,98
2020-15,CY,25-49yr,76
2020-16,CY,25-49yr,62
2020-17,CY,25-49yr,21
2020-18,CY,25-49yr,31
2020-19,CY,25-49yr,9
2020-20,CY,25-49yr,9
2020-21,CY,25-49yr,7
2020-22,CY,25-49yr,6
2020-23,CY,25-49yr,8
2020-24,CY,25-49yr,8
2020-25,CY,25-49yr,1
2020-26,CY,25-49yr,4
2020-27,CY,25-49yr,4
2020-28,CY,25-49yr,13
2020-29,CY,25-49yr,12
2020-30,CY,25-49yr,14
2020-31,CY,25-49yr,45
2020-32,CY,25-49yr,38
2020-33,CY,25-49yr,50
2020-34,CY,25-49yr,41
2020-35,CY,25-49yr,26
2020-36,CY,25-49yr,8
2020-37,CY,25-49yr,7
2020-38,CY,25-49yr,28
2020-39,CY,25-49yr,59
2020-40,CY,25-49yr,56
2020-41,CY,25-49yr,85
2020-42,CY,25-49yr,348
2020-43,CY,25-49yr,404
2020-44,CY,25-49yr,431
2020-45,CY,25-49yr,493
2020-46,CY,25-49yr,510
2020-47,CY,25-49yr,543
2020-48,CY,25-49yr,574
2020-49,CY,25-49yr,694
2020-50,CY,25-49yr,547
2020-51,CY,25-49yr,845
2020-52,CY,25-49yr,647
2020-53,CY,25-49yr,1652
2021-01,CY,25-49yr,1200
2021-02,CY,25-49yr,759
2021-03,CY,25-49yr,402
2021-04,CY,25-49yr,345
2021-05,CY,25-49yr,356
2021-06,CY,25-49yr,299
2021-07,CY,25-49yr,313
2021-08,CY,25-49yr,557
2021-09,CY,25-49yr,874
2021-10,CY,25-49yr,1114
2021-11,CY,25-49yr,1105
2021-12,CY,25-49yr,1012
2021-13,CY,25-49yr,1241
2020-11,CY,80+yr,1
2020-12,CY,80+yr,1
2020-13,CY,80+yr,4
2020-14,CY,80+yr,9
2020-15,CY,80+yr,6
2020-16,CY,80+yr,1
2020-17,CY,80+yr,0
2020-18,CY,80+yr,0
2020-19,CY,80+yr,1
2020-20,CY,80+yr,1
2020-21,CY,80+yr,3
2020-22,CY,80+yr,0
2020-23,CY,80+yr,0
2020-24,CY,80+yr,0
2020-25,CY,80+yr,0
2020-26,CY,80+yr,0
2020-27,CY,80+yr,0
2020-28,CY,80+yr,0
2020-29,CY,80+yr,0
2020-30,CY,80+yr,0
2020-31,CY,80+yr,0
2020-32,CY,80+yr,0
2020-33,CY,80+yr,1
2020-34,CY,80+yr,0
2020-35,CY,80+yr,1
2020-36,CY,80+yr,0
2020-37,CY,80+yr,1
2020-38,CY,80+yr,1
2020-39,CY,80+yr,2
2020-40,CY,80+yr,1
2020-41,CY,80+yr,2
2020-42,CY,80+yr,7
2020-43,CY,80+yr,5
2020-44,CY,80+yr,14
2020-45,CY,80+yr,38
2020-46,CY,80+yr,43
2020-47,CY,80+yr,68
2020-48,CY,80+yr,72
2020-49,CY,80+yr,45
2020-50,CY,80+yr,39
2020-51,CY,80+yr,46
2020-52,CY,80+yr,60
2020-53,CY,80+yr,108
2021-01,CY,80+yr,114
2021-02,CY,80+yr,49
2021-03,CY,80+yr,30
2021-04,CY,80+yr,18
2021-05,CY,80+yr,16
2021-06,CY,80+yr,15
2021-07,CY,80+yr,16
2021-08,CY,80+yr,30
2021-09,CY,80+yr,19
2021-10,CY,80+yr,32
2021-11,CY,80+yr,27
2021-12,CY,80+yr,27
2021-13,CY,80+yr,37
2020-09,CZ,15-24yr,1
2020-10,CZ,15-24yr,4
2020-11,CZ,15-24yr,21
2020-12,CZ,15-24yr,96
2020-13,CZ,15-24yr,153
2020-14,CZ,15-24yr,206
2020-15,CZ,15-24yr,129
2020-16,CZ,15-24yr,76
2020-17,CZ,15-24yr,52
2020-18,CZ,15-24yr,47
2020-19,CZ,15-24yr,35
2020-20,CZ,15-24yr,34
2020-21,CZ,15-24yr,40
2020-22,CZ,15-24yr,18
2020-23,CZ,15-24yr,35
2020-24,CZ,15-24yr,30
2020-25,CZ,15-24yr,36
2020-26,CZ,15-24yr,56
2020-27,CZ,15-24yr,100
2020-28,CZ,15-24yr,77
2020-29,CZ,15-24yr,151
2020-30,CZ,15-24yr,316
2020-31,CZ,15-24yr,343
2020-32,CZ,15-24yr,301
2020-33,CZ,15-24yr,301
2020-34,CZ,15-24yr,325
2020-35,CZ,15-24yr,389
2020-36,CZ,15-24yr,603
2020-37,CZ,15-24yr,1598
2020-38,CZ,15-24yr,2867
2020-39,CZ,15-24yr,2847
2020-40,CZ,15-24yr,2440
2020-41,CZ,15-24yr,3961
2020-42,CZ,15-24yr,5376
2020-43,CZ,15-24yr,7580
2020-44,CZ,15-24yr,7086
2020-45,CZ,15-24yr,6558
2020-46,CZ,15-24yr,4126
2020-47,CZ,15-24yr,2925
2020-48,CZ,15-24yr,2496
2020-49,CZ,15-24yr,2445
2020-50,CZ,15-24yr,3247
2020-51,CZ,15-24yr,4588
2020-52,CZ,15-24yr,4326
2020-53,CZ,15-24yr,6554
2021-01,CZ,15-24yr,8368
2021-02,CZ,15-24yr,4854
2021-03,CZ,15-24yr,3898
2021-04,CZ,15-24yr,3904
2021-05,CZ,15-24yr,4150
2021-06,CZ,15-24yr,4541
2021-07,CZ,15-24yr,5765
2021-08,CZ,15-24yr,7346
2021-09,CZ,15-24yr,7980
2021-10,CZ,15-24yr,7552
2021-11,CZ,15-24yr,6573
2021-12,CZ,15-24yr,5083
2021-13,CZ,15-24yr,3679
2020-09,CZ,25-49yr,1
2020-10,CZ,25-49yr,14
2020-11,CZ,25-49yr,121
2020-12,CZ,25-49yr,451
2020-13,CZ,25-49yr,763
2020-14,CZ,25-49yr,742
2020-15,CZ,25-49yr,538
2020-16,CZ,25-49yr,253
2020-17,CZ,25-49yr,212
2020-18,CZ,25-49yr,136
2020-19,CZ,25-49yr,154
2020-20,CZ,25-49yr,179
2020-21,CZ,25-49yr,258
2020-22,CZ,25-49yr,161
2020-23,CZ,25-49yr,166
2020-24,CZ,25-49yr,195
2020-25,CZ,25-49yr,223
2020-26,CZ,25-49yr,628
2020-27,CZ,25-49yr,440
2020-28,CZ,25-49yr,315
2020-29,CZ,25-49yr,346
2020-30,CZ,25-49yr,555
2020-31,CZ,25-49yr,658
2020-32,CZ,25-49yr,772
2020-33,CZ,25-49yr,845
2020-34,CZ,25-49yr,916
2020-35,CZ,25-49yr,1267
2020-36,CZ,25-49yr,1929
2020-37,CZ,25-49yr,3714
2020-38,CZ,25-49yr,5649
2020-39,CZ,25-49yr,6492
2020-40,CZ,25-49yr,7977
2020-41,CZ,25-49yr,16043
2020-42,CZ,25-49yr,26959
2020-43,CZ,25-49yr,39130
2020-44,CZ,25-49yr,36352
2020-45,CZ,25-49yr,29791
2020-46,CZ,25-49yr,17340
2020-47,CZ,25-49yr,12467
2020-48,CZ,25-49yr,10626
2020-49,CZ,25-49yr,10966
2020-50,CZ,25-49yr,13931
2020-51,CZ,25-49yr,19842
2020-52,CZ,25-49yr,20398
2020-53,CZ,25-49yr,31277
2021-01,CZ,25-49yr,37177
2021-02,CZ,25-49yr,22121
2021-03,CZ,25-49yr,19245
2021-04,CZ,25-49yr,19477
2021-05,CZ,25-49yr,20736
2021-06,CZ,25-49yr,22593
2021-07,CZ,25-49yr,27924
2021-08,CZ,25-49yr,35324
2021-09,CZ,25-49yr,36185
2021-10,CZ,25-49yr,32346
2021-11,CZ,25-49yr,26597
2021-12,CZ,25-49yr,19795
2021-13,CZ,25-49yr,14980
2020-09,CZ,80+yr,0
2020-10,CZ,80+yr,0
2020-11,CZ,80+yr,9
2020-12,CZ,80+yr,15
2020-13,CZ,80+yr,118
2020-14,CZ,80+yr,115
2020-15,CZ,80+yr,130
2020-16,CZ,80+yr,77
2020-17,CZ,80+yr,97
2020-18,CZ,80+yr,41
2020-19,CZ,80+yr,17
2020-20,CZ,80+yr,7
2020-21,CZ,80+yr,7
2020-22,CZ,80+yr,19
2020-23,CZ,80+yr,26
2020-24,CZ,80+yr,19
2020-25,CZ,80+yr,38
2020-26,CZ,80+yr,16
2020-27,CZ,80+yr,18
2020-28,CZ,80+yr,11
2020-29,CZ,80+yr,18
2020-30,CZ,80+yr,72
2020-31,CZ,80+yr,35
2020-32,CZ,80+yr,60
2020-33,CZ,80+yr,46
2020-34,CZ,80+yr,57
2020-35,CZ,80+yr,56
2020-36,CZ,80+yr,86
2020-37,CZ,80+yr,216
2020-38,CZ,80+yr,257
2020-39,CZ,80+yr,335
2020-40,CZ,80+yr,621
2020-41,CZ,80+yr,1235
2020-42,CZ,80+yr,2214
2020-43,CZ,80+yr,3458
2020-44,CZ,80+yr,4320
2020-45,CZ,80+yr,4190
2020-46,CZ,80+yr,3247
2020-47,CZ,80+yr,2369
2020-48,CZ,80+yr,2034
2020-49,CZ,80+yr,1779
2020-50,CZ,80+yr,1929
2020-51,CZ,80+yr,1908
2020-52,CZ,80+yr,1980
2020-53,CZ,80+yr,2953
2021-01,CZ,80+yr,4109
2021-02,CZ,80+yr,2817
2021-03,CZ,80+yr,2337
2021-04,CZ,80+yr,2153
2021-05,CZ,80+yr,2047
2021-06,CZ,80+yr,1817
2021-07,CZ,80+yr,2080
2021-08,CZ,80+yr,2382
2021-09,CZ,80+yr,2381
2021-10,CZ,80+yr,2002
2021-11,CZ,80+yr,1768
